order_id,order_date,order_timestamp,customer_code,product_sku,store_code,channel,quantity,gross_sales_amount,discount_amount,net_sales_amount,payment_method,currency,price_type,valid_from,valid_to,source_system,load_timestamp,batch_id
ORD-462259,2025-10-03,2025-10-03,CUST-151330,SKU-520262,C60,In-Store,338,31.72,0.95,30.77,EFT,ZAR,Regular,2025-03-22 17:35:36,2025-04-22 17:35:36,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-949975,2025-10-03,2025-10-03,CUST-459881,SKU-327396,SHOP,Online,829,119.72,3.59,116.13,Mobile Wallet,ZAR,Regular,2024-05-12 17:52:45,2024-06-12 17:52:45,OnlinePlatform,2026-02-24 03:42:30,BATCH-20260224-01
ORD-658765,2025-10-03,2025-10-03,CUST-778576,SKU-559450,SHOP,Online,891,50.34,1.51,48.83,Card,ZAR,Regular,2025-02-07 15:10:13,2025-03-07 15:10:13,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-452538,2025-10-03,2025-10-03,CUST-976434,SKU-689935,SHOP,Online,65,103.57,3.11,100.46,Card,ZAR,Promo,2025-12-04 00:26:35,2025-12-11 00:26:35,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-671686,2025-10-03,2025-10-03,CUST-133581,SKU-959457,SHOP,In-Store,532,28.73,0.86,27.87,EFT,ZAR,Promo,2024-12-04 06:54:37,2024-12-11 06:54:37,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-391582,2025-10-03,2025-10-03,CUST-546085,SKU-243217,CHK,Online,321,23.55,0.71,22.84,Voucher,ZAR,Regular,2025-08-11 16:05:13,2025-09-11 16:05:13,OnlinePlatform,2026-02-24 03:42:30,BATCH-20260224-01
ORD-160476,2025-10-03,2025-10-03,CUST-590693,SKU-522910,USV,In-Store,811,23.81,0.71,23.1,EFT,ZAR,Promo,2025-05-09 05:13:37,2025-05-16 05:13:37,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-379296,2025-10-03,2025-10-03,CUST-133581,SKU-515268,SHOP,In-Store,390,17.74,0.53,17.21,Voucher,ZAR,Regular,2024-05-02 13:29:41,2024-06-02 13:29:41,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-856054,2025-10-03,2025-10-03,CUST-736996,SKU-593392,SHOP,In-Store,950,22.22,0.67,21.55,Cash,ZAR,Promo,2024-10-04 10:00:01,2024-10-11 10:00:01,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-357147,2025-10-03,2025-10-03,CUST-920834,SKU-563263,SHOP,Online,34,92.93,2.79,90.14,EFT,ZAR,Regular,2025-08-06 13:45:27,2025-09-06 13:45:27,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-878421,2025-10-03,2025-10-03,CUST-415570,SKU-958022,SHOP,Online,742,16.72,0.5,16.22,Voucher,ZAR,Promo,2025-03-15 16:33:46,2025-03-22 16:33:46,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-220149,2025-10-03,2025-10-03,CUST-695018,SKU-529800,USV,Online,84,15.66,0.47,15.19,Mobile Wallet,ZAR,Regular,2025-12-04 16:12:57,2026-01-04 16:12:57,OnlinePlatform,2026-02-24 03:42:30,BATCH-20260224-01
ORD-480457,2025-10-03,2025-10-03,CUST-489904,SKU-750761,SHOP,Online,815,101.08,3.03,98.05,Voucher,ZAR,Promo,2025-09-17 20:26:06,2025-09-24 20:26:06,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-688502,2025-10-03,2025-10-03,CUST-353310,SKU-715489,C60,Online,880,36.94,1.11,35.83,Card,ZAR,Regular,2024-10-16 13:54:13,2024-11-16 13:54:13,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-269841,2025-10-03,2025-10-03,CUST-790254,SKU-809821,CHK,In-Store,529,35.87,1.08,34.79,Cash,ZAR,Regular,2025-09-26 07:22:16,2025-10-26 07:22:16,OnlinePlatform,2026-02-24 03:42:30,BATCH-20260224-01
ORD-653869,2025-10-03,2025-10-03,CUST-122071,SKU-168195,SHOP,In-Store,35,47.74,1.43,46.31,EFT,ZAR,Regular,2025-04-02 21:54:43,2025-05-02 21:54:43,OnlinePlatform,2026-02-24 03:42:30,BATCH-20260224-01
ORD-573920,2025-10-03,2025-10-03,CUST-979121,SKU-218015,USV,Online,706,34.91,1.05,33.86,Cash,ZAR,Regular,2025-08-08 05:36:58,2025-09-08 05:36:58,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-317651,2025-10-03,2025-10-03,CUST-546811,SKU-558404,C60,Online,681,98.19,2.95,95.24,Voucher,ZAR,Promo,2025-02-03 06:49:49,2025-02-10 06:49:49,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-559577,2025-10-03,2025-10-03,CUST-581373,SKU-468637,SHOP,In-Store,514,17.6,0.53,17.07,Mobile Wallet,ZAR,Promo,2025-03-01 07:40:28,2025-03-08 07:40:28,OnlinePlatform,2026-02-24 03:42:30,BATCH-20260224-01
ORD-717121,2025-10-03,2025-10-03,CUST-859341,SKU-836187,CHK,Online,587,98.2,2.95,95.25,Voucher,ZAR,Promo,2025-06-05 01:25:21,2025-06-12 01:25:21,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-143359,2025-10-03,2025-10-03,CUST-675173,SKU-413372,CHK,Online,903,29.51,0.89,28.62,Cash,ZAR,Regular,2025-05-27 03:09:57,2025-06-27 03:09:57,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-245849,2025-10-03,2025-10-03,CUST-365811,SKU-514236,C60,In-Store,535,73.87,2.22,71.65,Voucher,ZAR,Regular,2024-03-13 06:25:45,2024-04-13 06:25:45,OnlinePlatform,2026-02-24 03:42:30,BATCH-20260224-01
ORD-625557,2025-10-03,2025-10-03,CUST-923932,SKU-291549,C60,Online,486,52.73,1.58,51.15,Voucher,ZAR,Regular,2024-10-01 16:09:17,2024-11-01 16:09:17,POS,2026-02-24 03:42:30,BATCH-20260224-01
ORD-749903,2025-10-03,2025-10-03,CUST-522080,SKU-406697,USV,Online,853,34.71,1.04,33.67,EFT,ZAR,Promo,2025-09-18 03:26:22,2025-09-25 03:26:22,OnlinePlatform,2026-02-24 03:42:30,BATCH-20260224-01
ORD-365459,2025-10-03,2025-10-03,CUST-330887,SKU-426874,CHK,In-Store,552,25.11,0.75,24.36,Mobile Wallet,ZAR,Promo,2025-04-23 23:20:52,2025-04-30 23:20:52,OnlinePlatform,2026-02-24 03:42:30,BATCH-20260224-01
ORD-822666,2025-10-03,2025-10-03,CUST-933400,SKU-614005,C60,Online,294,76.78,2.3,74.48,EFT,ZAR,Promo,2024-05-23 22:24:33,2024-05-30 22:24:33,OnlinePlatform,2026-02-24 03:42:30,BATCH-20260224-01
