order_id,order_date,order_timestamp,customer_code,product_sku,store_code,channel,quantity,gross_sales_amount,discount_amount,net_sales_amount,payment_method,currency,price_type,valid_from,valid_to,source_system,load_timestamp,batch_id
ORD-667595,2024-04-23,2024-04-23,CUST-404603,SKU-700478,USV,Online,758,39.85,1.2,38.65,EFT,ZAR,Regular,2025-05-13 22:08:25,2025-06-13 22:08:25,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-114237,2024-04-23,2024-04-23,CUST-903219,SKU-596899,SHOP,Online,705,86.31,2.59,83.72,Mobile Wallet,ZAR,Promo,2024-08-15 11:05:31,2024-08-22 11:05:31,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-299227,2024-04-23,2024-04-23,CUST-375381,SKU-850817,SHOP,Online,754,17.43,0.52,16.91,EFT,ZAR,Regular,2025-04-13 14:48:42,2025-05-13 14:48:42,POS,2026-02-24 03:53:28,BATCH-20260224-01
ORD-337596,2024-04-23,2024-04-23,CUST-903219,SKU-180487,SHOP,Online,688,53.94,1.62,52.32,Card,ZAR,Regular,2025-11-10 16:54:28,2025-12-10 16:54:28,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-776527,2024-04-23,2024-04-23,CUST-308882,SKU-481177,CHK,Online,511,110.93,3.33,107.6,EFT,ZAR,Regular,2025-09-09 11:02:46,2025-10-09 11:02:46,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-292141,2024-04-23,2024-04-23,CUST-987274,SKU-626952,SHOP,Online,711,23.96,0.72,23.24,Mobile Wallet,ZAR,Regular,2025-01-17 21:10:01,2025-02-17 21:10:01,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-268307,2024-04-23,2024-04-23,CUST-849001,SKU-618287,USV,Online,905,23.17,0.7,22.47,Voucher,ZAR,Promo,2025-02-25 00:44:28,2025-03-04 00:44:28,POS,2026-02-24 03:53:28,BATCH-20260224-01
ORD-204425,2024-04-23,2024-04-23,CUST-680231,SKU-664614,SHOP,Online,677,22.08,0.66,21.42,Voucher,ZAR,Regular,2025-04-04 20:25:46,2025-05-04 20:25:46,POS,2026-02-24 03:53:28,BATCH-20260224-01
ORD-448968,2024-04-23,2024-04-23,CUST-303972,SKU-914725,C60,In-Store,656,36.21,1.09,35.12,EFT,ZAR,Promo,2024-11-05 18:20:57,2024-11-12 18:20:57,POS,2026-02-24 03:53:28,BATCH-20260224-01
ORD-601705,2024-04-23,2024-04-23,CUST-596362,SKU-772657,C60,Online,678,15.05,0.45,14.6,EFT,ZAR,Promo,2024-04-11 04:56:40,2024-04-18 04:56:40,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-456538,2024-04-23,2024-04-23,CUST-925511,SKU-771696,C60,In-Store,743,86.85,2.61,84.24,Voucher,ZAR,Regular,2025-03-02 17:17:22,2025-04-02 17:17:22,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-303256,2024-04-23,2024-04-23,CUST-937044,SKU-148634,SHOP,Online,771,16.04,0.48,15.56,Cash,ZAR,Regular,2024-07-28 21:48:59,2024-08-28 21:48:59,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-116590,2024-04-23,2024-04-23,CUST-932374,SKU-651335,C60,Online,940,33.98,1.02,32.96,Voucher,ZAR,Regular,2024-07-05 23:41:34,2024-08-05 23:41:34,POS,2026-02-24 03:53:28,BATCH-20260224-01
ORD-635569,2024-04-23,2024-04-23,CUST-106879,SKU-992854,SHOP,In-Store,222,15.0,0.45,14.55,Card,ZAR,Regular,2025-11-13 12:26:28,2025-12-13 12:26:28,POS,2026-02-24 03:53:28,BATCH-20260224-01
ORD-524540,2024-04-23,2024-04-23,CUST-297841,SKU-206001,CHK,Online,71,32.33,0.97,31.36,EFT,ZAR,Promo,2024-11-27 01:29:50,2024-12-04 01:29:50,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-492572,2024-04-23,2024-04-23,CUST-613042,SKU-162087,USV,In-Store,180,17.85,0.54,17.31,Mobile Wallet,ZAR,Regular,2025-08-20 14:48:31,2025-09-20 14:48:31,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-654297,2024-04-23,2024-04-23,CUST-438290,SKU-255654,C60,Online,534,96.37,2.89,93.48,Cash,ZAR,Promo,2024-10-14 18:13:50,2024-10-21 18:13:50,POS,2026-02-24 03:53:28,BATCH-20260224-01
ORD-979966,2024-04-23,2024-04-23,CUST-234663,SKU-477432,CHK,Online,247,16.25,0.49,15.76,EFT,ZAR,Regular,2024-06-28 21:23:35,2024-07-28 21:23:35,POS,2026-02-24 03:53:28,BATCH-20260224-01
ORD-238181,2024-04-23,2024-04-23,CUST-453439,SKU-914725,SHOP,Online,416,16.62,0.5,16.12,Card,ZAR,Regular,2024-11-15 16:07:01,2024-12-15 16:07:01,POS,2026-02-24 03:53:28,BATCH-20260224-01
ORD-115384,2024-04-23,2024-04-23,CUST-517720,SKU-961618,USV,In-Store,413,37.95,1.14,36.81,Voucher,ZAR,Promo,2025-04-04 10:36:17,2025-04-11 10:36:17,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-188320,2024-04-23,2024-04-23,CUST-110875,SKU-510585,CHK,Online,115,17.19,0.52,16.67,Voucher,ZAR,Promo,2025-10-08 13:24:45,2025-10-15 13:24:45,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-748066,2024-04-23,2024-04-23,CUST-549114,SKU-973740,SHOP,Online,407,33.68,1.01,32.67,Voucher,ZAR,Promo,2024-05-02 00:42:55,2024-05-09 00:42:55,POS,2026-02-24 03:53:28,BATCH-20260224-01
ORD-242713,2024-04-23,2024-04-23,CUST-992431,SKU-594059,SHOP,In-Store,556,17.56,0.53,17.03,EFT,ZAR,Promo,2024-09-20 09:45:14,2024-09-27 09:45:14,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-486051,2024-04-23,2024-04-23,CUST-121414,SKU-486979,SHOP,In-Store,941,99.16,2.97,96.19,Voucher,ZAR,Regular,2025-08-08 06:32:44,2025-09-08 06:32:44,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-871580,2024-04-23,2024-04-23,CUST-303825,SKU-596899,CHK,In-Store,848,17.33,0.52,16.81,Cash,ZAR,Promo,2024-05-18 02:09:40,2024-05-25 02:09:40,POS,2026-02-24 03:53:28,BATCH-20260224-01
ORD-618657,2024-04-23,2024-04-23,CUST-609856,SKU-388626,CHK,In-Store,492,16.93,0.51,16.42,Card,ZAR,Regular,2024-08-14 04:57:39,2024-09-14 04:57:39,POS,2026-02-24 03:53:28,BATCH-20260224-01
ORD-377190,2024-04-23,2024-04-23,CUST-416186,SKU-764957,CHK,Online,728,16.53,0.5,16.03,Card,ZAR,Regular,2024-11-18 17:05:31,2024-12-18 17:05:31,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
ORD-779263,2024-04-23,2024-04-23,CUST-533548,SKU-631164,CHK,In-Store,958,93.44,2.8,90.64,EFT,ZAR,Regular,2024-08-02 22:39:46,2024-09-02 22:39:46,OnlinePlatform,2026-02-24 03:53:28,BATCH-20260224-01
