order_id,order_date,order_timestamp,customer_code,product_sku,store_code,channel,quantity,gross_sales_amount,discount_amount,net_sales_amount,payment_method,currency,price_type,valid_from,valid_to,source_system,load_timestamp,batch_id
ORD-496979,2025-05-27,2025-05-27,CUST-575528,SKU-673975,C60,In-Store,820,13817.0,414.51,13402.49,EFT,ZAR,Regular,2024-05-28 18:01:16,2024-06-28 18:01:16,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-995977,2025-05-27,2025-05-27,CUST-124490,SKU-543215,SHOP,In-Store,691,14842.68,445.28,14397.4,Card,ZAR,Regular,2024-04-22 08:54:42,2024-05-22 08:54:42,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-429754,2025-05-27,2025-05-27,CUST-749623,SKU-947926,CHK,In-Store,211,4125.05,123.75,4001.3,Cash,ZAR,Regular,2025-06-26 11:02:30,2025-07-26 11:02:30,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-522575,2025-05-27,2025-05-27,CUST-281704,SKU-511531,SHOP,In-Store,978,27335.1,820.05,26515.05,EFT,ZAR,Promo,2024-07-11 13:40:06,2024-07-18 13:40:06,OnlinePlatform,2026-02-24 17:26:42,BATCH-20260224-01
ORD-480313,2025-05-27,2025-05-27,CUST-942551,SKU-310471,USV,Online,996,16274.64,488.24,15786.4,Cash,ZAR,Promo,2024-04-15 11:28:29,2024-04-22 11:28:29,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-400747,2025-05-27,2025-05-27,CUST-185366,SKU-834611,SHOP,In-Store,724,14610.32,438.31,14172.01,Cash,ZAR,Promo,2025-06-12 01:27:43,2025-06-19 01:27:43,OnlinePlatform,2026-02-24 17:26:42,BATCH-20260224-01
ORD-512551,2025-05-27,2025-05-27,CUST-879746,SKU-601719,C60,Online,624,9640.8,289.22,9351.58,Voucher,ZAR,Promo,2024-09-19 22:59:23,2024-09-26 22:59:23,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-553046,2025-05-27,2025-05-27,CUST-537788,SKU-647013,C60,In-Store,202,2953.24,88.6,2864.64,Mobile Wallet,ZAR,Promo,2025-03-18 23:33:24,2025-03-25 23:33:24,OnlinePlatform,2026-02-24 17:26:42,BATCH-20260224-01
ORD-488447,2025-05-27,2025-05-27,CUST-311829,SKU-395569,CHK,In-Store,361,32786.02,983.58,31802.44,EFT,ZAR,Regular,2025-08-06 12:35:02,2025-09-06 12:35:02,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-809365,2025-05-27,2025-05-27,CUST-879746,SKU-588943,C60,Online,101,1578.63,47.36,1531.27,Mobile Wallet,ZAR,Regular,2024-10-05 18:06:18,2024-11-05 18:06:18,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-430314,2025-05-27,2025-05-27,CUST-551331,SKU-146121,USV,In-Store,961,134837.91,,130792.77,Voucher,ZAR,Promo,2025-04-27 03:45:03,2025-05-04 03:45:03,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-730153,2025-05-27,2025-05-27,CUST-596903,SKU-115282,SHOP,Online,796,27923.68,837.71,27085.97,EFT,ZAR,Promo,2024-09-17 15:38:18,2024-09-24 15:38:18,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-685472,2025-05-27,2025-05-27,CUST-749623,SKU-438932,CHK,In-Store,930,31657.2,949.72,30707.48,Voucher,ZAR,Promo,2024-12-15 04:48:01,2024-12-22 04:48:01,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-361779,2025-05-27,2025-05-27,CUST-330974,SKU-958180,C60,In-Store,683,25230.02,756.9,24473.12,EFT,ZAR,Regular,2025-10-07 12:00:06,2025-11-07 12:00:06,OnlinePlatform,2025-05-31 00:00:00,BATCH-20260224-01
ORD-914479,2025-05-27,2025-05-27,CUST-370281,SKU-566330,USV,Online,688,99037.6,2971.13,96066.47,Card,ZAR,Regular,2025-05-02 12:11:52,2025-06-02 12:11:52,OnlinePlatform,2026-02-24 17:26:42,BATCH-20260224-01
ORD-639550,2025-05-27,2025-05-27,CUST-780267,SKU-108097,C60,In-Store,141,2945.49,88.36,2857.13,Mobile Wallet,ZAR,Regular,2025-12-08 12:27:33,2026-01-08 12:27:33,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-332690,2025-05-27,2025-05-27,CUST-721246,SKU-514344,CHK,Online,73,1670.97,50.13,1620.84,Voucher,ZAR,Promo,2025-06-09 13:28:30,2025-06-16 13:28:30,OnlinePlatform,2026-02-24 17:26:42,BATCH-20260224-01
ORD-357112,2025-05-27,2025-05-27,CUST-248562,SKU-804643,USV,In-Store,349,39995.4,1199.86,38795.54,Voucher,ZAR,Promo,2024-08-21 19:20:53,2024-08-28 19:20:53,OnlinePlatform,2026-02-24 17:26:42,BATCH-20260224-01
ORD-553378,2025-05-27,2025-05-27,CUST-607834,SKU-177451,SHOP,Online,911,85961.96,2578.86,83383.1,Cash,ZAR,Regular,2025-09-17 05:43:38,2025-10-17 05:43:38,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-829529,2025-05-27,2025-05-27,CUST-254262,SKU-315886,SHOP,In-Store,293,30425.12,912.75,29512.37,Cash,ZAR,Regular,2025-06-04 04:38:18,2025-07-04 04:38:18,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-829529,2025-05-27,2025-05-27,CUST-254262,SKU-315886,SHOP,In-Store,293,30425.12,912.75,29512.37,Cash,ZAR,Regular,2025-06-04 04:38:18,2025-07-04 04:38:18,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-939878,2025-05-27,2025-05-27,CUST-308842,SKU-662145,CHK,In-Store,614,87777.44,2633.32,85144.12,Mobile Wallet,ZAR,Regular,2025-07-19 18:56:53,2025-08-19 18:56:53,POS,2026-02-24 17:26:42,BATCH-20260224-01
ORD-146336,2025-05-27,2025-05-27,CUST-637509,SKU-703284,C60,In-Store,32,583.68,17.51,566.17,Voucher,ZAR,Promo,2025-12-01 11:43:50,2025-12-08 11:43:50,OnlinePlatform,2026-02-24 17:26:42,BATCH-20260224-01
ORD-910982,2025-05-27,2025-05-27,CUST-707432,SKU-316809,SHOP,In-Store,958,18872.6,566.18,18306.42,Mobile Wallet,ZAR,Promo,2024-06-09 21:32:58,2024-06-16 21:32:58,OnlinePlatform,2026-02-24 17:26:42,BATCH-20260224-01
ORD-456911,2025-05-27,2025-05-27,CUST-903691,SKU-709519,CHK,Online,718,18294.64,548.84,17745.8,EFT,ZAR,Promo,2025-05-21 08:31:43,2025-05-28 08:31:43,POS,2025-05-30 00:00:00,BATCH-20260224-01
