order_id,order_date,order_timestamp,customer_code,product_sku,store_code,channel,quantity,gross_sales_amount,discount_amount,net_sales_amount,payment_method,currency,price_type,valid_from,valid_to,source_system,load_timestamp,batch_id
ORD-172233,2024-04-13,2024-04-13,CUST-629952,SKU-553411,USV,Online,864,32.87,0.99,31.88,EFT,ZAR,Regular,2024-02-11 07:13:13,2024-03-11 07:13:13,OnlinePlatform,2026-02-24 03:53:42,BATCH-20260224-01
ORD-419230,2024-04-13,2024-04-13,CUST-562566,SKU-705442,SHOP,Online,544,17.41,0.52,16.89,EFT,ZAR,Regular,2025-06-09 03:00:14,2025-07-09 03:00:14,POS,2026-02-24 03:53:42,BATCH-20260224-01
ORD-485800,2024-04-13,2024-04-13,CUST-222708,SKU-442154,SHOP,Online,191,21.12,0.63,20.49,Voucher,ZAR,Regular,2025-04-01 01:38:37,2025-05-01 01:38:37,OnlinePlatform,2026-02-24 03:53:42,BATCH-20260224-01
ORD-589162,2024-04-13,2024-04-13,CUST-259264,SKU-581736,CHK,In-Store,110,20.32,0.61,19.71,Mobile Wallet,ZAR,Regular,2025-03-15 13:01:58,2025-04-15 13:01:58,POS,2026-02-24 03:53:42,BATCH-20260224-01
ORD-610007,2024-04-13,2024-04-13,CUST-562945,SKU-238591,USV,Online,351,25.73,0.77,24.96,Mobile Wallet,ZAR,Promo,2024-03-14 12:07:07,2024-03-21 12:07:07,POS,2026-02-24 03:53:42,BATCH-20260224-01
ORD-133982,2024-04-13,2024-04-13,CUST-340277,SKU-281746,SHOP,Online,485,53.4,1.6,51.8,Card,ZAR,Promo,2024-11-22 06:23:53,2024-11-29 06:23:53,POS,2026-02-24 03:53:42,BATCH-20260224-01
ORD-537452,2024-04-13,2024-04-13,CUST-382651,SKU-457180,C60,Online,321,25.09,0.75,24.34,EFT,ZAR,Promo,2025-04-25 06:39:51,2025-05-02 06:39:51,POS,2026-02-24 03:53:42,BATCH-20260224-01
ORD-675049,2024-04-13,2024-04-13,CUST-973258,SKU-183060,C60,Online,71,40.82,1.22,39.6,Mobile Wallet,ZAR,Promo,2024-05-26 21:49:54,2024-06-02 21:49:54,POS,2026-02-24 03:53:42,BATCH-20260224-01
ORD-557693,2024-04-13,2024-04-13,CUST-976460,SKU-378013,CHK,In-Store,762,83.46,2.5,80.96,Card,ZAR,Regular,2024-12-19 22:17:45,2025-01-19 22:17:45,POS,2026-02-24 03:53:42,BATCH-20260224-01
ORD-908284,2024-04-13,2024-04-13,CUST-918572,SKU-268238,CHK,In-Store,545,81.53,2.45,79.08,Card,ZAR,Promo,2025-07-21 06:10:09,2025-07-28 06:10:09,POS,2026-02-24 03:53:42,BATCH-20260224-01
ORD-332964,2024-04-13,2024-04-13,CUST-157676,SKU-422685,SHOP,In-Store,966,44.25,1.33,42.92,Mobile Wallet,ZAR,Promo,2024-03-13 03:49:10,2024-03-20 03:49:10,POS,2026-02-24 03:53:42,BATCH-20260224-01
